0 |[(9, 1), (10, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
paper |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
paradigm |[(5, 1), (8, 1)]|
parent |[(14, 1), (15, 1), (17, 1), (18, 1)]|
part |[(5, 1), (8, 1)]|
paschk |[(12, 1)]|
pasricha |[(5, 1), (7, 1), (8, 1)]|
past |[(0, 1), (1, 1), (2, 1)]|
pathak |[(0, 1), (1, 1), (2, 1)]|
pattern |[(0, 1), (1, 1), (2, 1), (11, 1)]|
pazzani |[(16, 1)]|
per |[(11, 1)]|
perform |[(4, 1), (5, 1), (7, 1), (8, 1), (10, 1)]|
period |[(11, 1)]|
perl |[(14, 1), (15, 1), (17, 1), (18, 1)]|
person |[(4, 1), (5, 1), (7, 1), (8, 1)]|
pfour |[(18, 1)]|
phase |[(12, 1)]|
phusion_passeng |[(14, 1), (15, 1), (17, 1), (18, 1)]|
pick |[(13, 1)]|
piec |[(5, 1), (8, 1)]|
pierr |[(13, 1)]|
pixel |[(7, 1)]|
plan |[(5, 1), (8, 1)]|
plate |[(13, 1)]|
platform |[(4, 1), (6, 1), (10, 1)]|
pleas |[(9, 1), (12, 1), (13, 1)]|
plume |[(10, 1)]|
pointer |[(3, 1)]|
polici |[(6, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
pooja |[(0, 1), (1, 1), (2, 1)]|
port |[(14, 1), (15, 1), (17, 1), (18, 1)]|
portion |[(11, 1), (13, 1)]|
portug |[(4, 1)]|
posit |[(10, 1), (13, 1)]|
poster |[(4, 1)]|
power |[(4, 1)]|
pp |[(4, 1)]|
ppm |[(10, 1)]|
preemptiv |[(4, 1), (6, 1)]|
present |[(0, 1), (1, 1), (2, 1), (4, 1), (10, 1), (11, 1)]|
presid |[(0, 1), (1, 1), (2, 1)]|
previou |[(10, 1)]|
probabl |[(16, 1)]|
probe |[(12, 1)]|
problem |[(7, 1)]|
proceed |[(4, 1), (5, 1), (7, 1), (8, 1), (12, 1)]|
process |[(0, 1), (1, 1), (2, 1)]|
processor |[(6, 1)]|
prodigi |[(18, 1)]|
profession |[(0, 1), (1, 1), (2, 1)]|
professor |[(0, 1), (1, 1), (2, 1)]|
profil |[(0, 1), (1, 1), (2, 1)]|
project |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (8, 1), (9, 1)]|
promot |[(0, 1), (1, 1), (2, 1)]|
prone |[(7, 1)]|
properti |[(4, 1), (5, 1), (6, 1), (8, 1)]|
propos |[(6, 1), (16, 1)]|
protocol |[(7, 1), (10, 1)]|
provid |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (13, 1)]|
proxim |[(13, 1)]|
pscb |[(0, 1), (1, 1), (2, 1)]|
pt |[(0, 1), (1, 1), (2, 1)]|
public |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
publish |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (12, 1)]|
pure |[(13, 1)]|
purpos |[(13, 1)]|
q |[(0, 1), (1, 1), (2, 1)]|
qiang |[(5, 1), (7, 1), (8, 1)]|
qo |[(5, 1), (8, 1)]|
quantiz |[(16, 1)]|
question |[(6, 1), (9, 1)]|
ramadoss |[(0, 1), (1, 1), (2, 1)]|
ramon |[(10, 1)]|
random |[(5, 1), (8, 1), (10, 1)]|
rate |[(6, 1), (10, 1)]|
rather |[(7, 1), (11, 1)]|
ratio |[(13, 1)]|
raw |[(10, 1)]|
re |[(0, 1), (1, 1), (2, 1), (12, 1)]|
read |[(10, 1)]|
real |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (12, 1), (13, 1)]|
realist |[(10, 1)]|
recent |[(9, 1)]|
record |[(11, 1)]|
recoveri |[(10, 1)]|
red |[(5, 1), (8, 1)]|
refer |[(5, 1), (8, 1), (12, 1), (13, 1)]|
regard |[(6, 1), (9, 1)]|
regress |[(10, 1)]|
rel |[(10, 1)]|
relat |[(3, 1), (4, 1), (5, 1), (8, 1), (10, 1), (11, 1)]|
releas |[(5, 1), (8, 1), (9, 1), (10, 1)]|
relev |[(10, 1), (11, 1), (12, 1), (13, 1)]|
reli |[(7, 1)]|
remot |[(6, 1)]|
repeat |[(10, 1)]|
replic |[(13, 1)]|
report |[(4, 1)]|
repositori |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
repres |[(6, 1), (13, 1), (16, 1)]|
reproduc |[(10, 1)]|
request |[(6, 1), (7, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
requir |[(16, 1)]|
research |[(3, 1)]|
reserv |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
residu |[(12, 1)]|
resist |[(10, 1)]|
resolv |[(7, 1)]|
respect |[(6, 1), (16, 1)]|
respons |[(7, 1), (10, 1)]|
result |[(5, 1), (7, 1), (8, 1), (12, 1)]|
retri |[(7, 1)]|
return |[(16, 1)]|
reusabl |[(5, 1), (8, 1)]|
review |[(4, 1)]|
rexa |[(16, 1)]|
rhuerta |[(10, 1)]|
right |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
rodriguez |[(10, 1)]|
rodrã |[(10, 1)]|
rosenblatt |[(12, 1)]|
routin |[(13, 1)]|
row |[(11, 1)]|
rs |[(10, 1)]|
rulkov |[(10, 1)]|
run |[(0, 1), (1, 1), (2, 1)]|
s |[(6, 1), (10, 1), (11, 1), (12, 1)]|
safe |[(6, 1)]|
same |[(7, 1), (13, 1)]|
samo |[(4, 1)]|
sampl |[(10, 1), (13, 1)]|
san |[(10, 1)]|
satisfi |[(6, 1)]|
satyam |[(0, 1), (1, 1), (2, 1)]|
sayrafi |[(16, 1)]|
scalabl |[(7, 1)]|
scale |[(9, 1)]|
schedul |[(4, 1), (6, 1)]|
schmidt |[(4, 1), (6, 1)]|
school |[(5, 1), (8, 1)]|
schriftenreih |[(12, 1)]|
scienc |[(5, 1), (8, 1), (12, 1), (16, 1)]|
scientif |[(12, 1)]|
sdm |[(16, 1)]|
se |[(10, 1)]|
second |[(10, 1), (11, 1)]|
secretari |[(0, 1), (1, 1), (2, 1)]|
section |[(6, 1)]|
see |[(5, 1), (8, 1), (10, 1), (11, 1)]|
seen |[(6, 1)]|
select |[(10, 1), (16, 1)]|
semant |[(5, 1), (6, 1), (8, 1)]|
seminar |[(0, 1), (1, 1), (2, 1)]|
sensit |[(10, 1)]|
sensor |[(0, 1), (1, 1), (2, 1), (10, 1)]|
sensorless |[(12, 1)]|
sensorlos |[(12, 1)]|
septemb |[(11, 1)]|
sequenc |[(11, 1), (12, 1)]|
sequenti |[(11, 1)]|
seri |[(10, 1)]|
serv |[(6, 1), (11, 1)]|
server |[(11, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
servic |[(5, 1), (8, 1), (11, 1)]|
session |[(0, 1), (1, 1), (2, 1)]|
set |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
setup |[(10, 1)]|
sever |[(5, 1), (8, 1), (12, 1), (13, 1)]|
shape |[(0, 1), (1, 1), (2, 1)]|
sherif |[(4, 1), (6, 1)]|
shift |[(5, 1), (8, 1)]|
shivan |[(0, 1), (1, 1), (2, 1)]|
shiyu |[(16, 1)]|
show |[(5, 1), (6, 1), (7, 1), (8, 1)]|
shown |[(5, 1), (6, 1), (7, 1), (8, 1), (16, 1)]|
signal |[(12, 1)]|
simpl |[(7, 1)]|
simul |[(4, 1), (5, 1), (8, 1)]|
simultan |[(7, 1)]|
sinc |[(6, 1)]|
singl |[(11, 1), (16, 1)]|
site |[(11, 1)]|
situat |[(7, 1)]|
skew |[(12, 1)]|
slave |[(7, 1)]|
slide |[(13, 1)]|
slower |[(16, 1)]|
small |[(9, 1)]|
smv |[(7, 1)]|
smyth |[(11, 1)]|
solut |[(5, 1), (8, 1)]|
some |[(0, 1), (1, 1), (2, 1), (3, 1)]|
sorri |[(0, 1), (1, 1), (2, 1)]|
sourc |[(3, 1), (4, 1), (5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
source1 |[(10, 1)]|
source2 |[(10, 1)]|
sourceforg |[(5, 1), (8, 1), (9, 1)]|
space |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1)]|
spam |[(0, 1), (1, 1), (2, 1)]|
spatio |[(10, 1)]|
speci |[(13, 1)]|
special |[(4, 1), (6, 1), (7, 1), (13, 1), (16, 1)]|
specif |[(4, 1), (5, 1), (7, 1), (8, 1)]|
specifi |[(5, 1), (8, 1), (10, 1)]|
spectra |[(13, 1)]|
spectrometri |[(10, 1), (13, 1)]|
spectrum |[(13, 1)]|
speed |[(12, 1)]|
sport |[(11, 1)]|
spot |[(13, 1)]|
standard |[(11, 1), (12, 1), (13, 1)]|
start |[(10, 1), (11, 1)]|
state |[(5, 1), (7, 1), (8, 1)]|
statist |[(0, 1), (1, 1), (2, 1), (12, 1)]|
stephen |[(16, 1)]|
still |[(7, 1), (16, 1)]|
stimuli |[(10, 1)]|
strain |[(13, 1)]|
strategi |[(13, 1)]|
stroke |[(6, 1), (9, 1)]|
stucco |[(16, 1)]|
student |[(0, 1), (1, 1), (2, 1)]|
studi |[(6, 1), (9, 1)]|
style |[(0, 1), (1, 1), (2, 1)]|
stylegan |[(0, 1), (1, 1), (2, 1)]|
sub |[(12, 1)]|
submiss |[(4, 1)]|
submit |[(13, 1)]|
such |[(5, 1), (8, 1), (16, 1)]|
sudeep |[(5, 1), (7, 1), (8, 1)]|
summari |[(11, 1)]|
supervis |[(3, 1)]|
support |[(5, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
suppos |[(16, 1)]|
svn |[(14, 1), (15, 1), (17, 1), (18, 1)]|
symposium |[(4, 1), (6, 1)]|
synchronmotoren |[(12, 1)]|
syntax |[(5, 1), (8, 1)]|
system |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
szemethi |[(4, 1)]|
sztipanovit |[(4, 1)]|
t |[(0, 1), (1, 1), (2, 1)]|
tandon |[(0, 1), (1, 1), (2, 1)]|
target |[(16, 1)]|
task |[(6, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
taxonom |[(13, 1)]|
team |[(0, 1), (1, 1), (2, 1)]|
tech |[(11, 1)]|
technic |[(4, 1)]|
techniqu |[(0, 1), (1, 1), (2, 1)]|
technolog |[(0, 1), (1, 1), (2, 1)]|
technologi |[(12, 1)]|
temperatur |[(10, 1)]|
tempor |[(10, 1)]|
test |[(10, 1), (17, 1)]|
text |[(10, 1)]|
textual |[(5, 1), (8, 1)]|
tgs2600 |[(10, 1)]|
tgs2602 |[(10, 1)]|
tgs2610 |[(10, 1)]|
tgs2611 |[(10, 1)]|
tgs2612 |[(10, 1)]|
tgs2620 |[(10, 1)]|
than |[(6, 1), (7, 1), (16, 1)]|
thank |[(0, 1), (1, 1), (2, 1), (11, 1)]|
that |[(0, 1), (1, 1), (2, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (13, 1), (16, 1)]|
the |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
their |[(5, 1), (6, 1), (8, 1), (12, 1)]|
themefish |[(0, 1), (1, 1), (2, 1)]|
themselv |[(7, 1)]|
theoret |[(6, 1), (16, 1)]|
therefor |[(7, 1)]|
these |[(7, 1), (16, 1)]|
they |[(4, 1), (7, 1), (11, 1)]|
thi |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
those |[(0, 1), (1, 1), (2, 1)]|
though |[(7, 1)]|
three |[(7, 1), (12, 1), (16, 1)]|
through |[(0, 1), (1, 1), (2, 1)]|
tile |[(7, 1)]|
time |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]|
timer |[(6, 1)]|
tini |[(9, 1)]|
tivadar |[(4, 1)]|
to |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
tof |[(13, 1)]|
togeth |[(5, 1), (8, 1)]|
toggl |[(0, 1), (1, 1), (2, 1)]|
too |[(5, 1), (8, 1)]|
tool |[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (9, 1)]|
toolset |[(3, 1), (4, 1), (5, 1), (8, 1)]|
total |[(10, 1)]|
touch |[(0, 1), (1, 1), (2, 1)]|
toward |[(10, 1)]|
town |[(0, 1), (1, 1), (2, 1)]|
trace |[(16, 1)]|
tradit |[(10, 1)]|
transfer |[(0, 1), (1, 1), (2, 1)]|
transform |[(4, 1), (6, 1)]|
travel |[(11, 1)]|
treasur |[(0, 1), (1, 1), (2, 1)]|
tri |[(0, 1), (1, 1), (2, 1)]|
trincavelli |[(10, 1)]|
tunnel |[(10, 1)]|
turbul |[(10, 1)]|
tutori |[(4, 1)]|
twenti |[(11, 1)]|
twice |[(11, 1)]|
two |[(7, 1), (10, 1), (12, 1), (13, 1)]|
type |[(13, 1)]|
uc |[(4, 1)]|
uci |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
ucsd |[(10, 1)]|
uddeshya |[(0, 1), (1, 1), (2, 1)]|
under |[(3, 1), (16, 1)]|
understand |[(16, 1)]|
uniqu |[(0, 1), (1, 1), (2, 1)]|
unit |[(10, 1)]|
univers |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (8, 1), (10, 1), (12, 1), (16, 1)]|
unmask |[(7, 1)]|
up |[(0, 1), (1, 1), (2, 1), (7, 1), (10, 1), (13, 1)]|
updat |[(0, 1), (1, 1), (2, 1)]|
upon |[(6, 1)]|
uppaal |[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1)]|
url |[(11, 1)]|
us |[(0, 1), (1, 1), (2, 1)]|
usa |[(10, 1)]|
use |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
user |[(11, 1)]|
util |[(10, 1)]|
uwe |[(12, 1)]|
v1 |[(4, 1)]|
v5 |[(14, 1), (15, 1), (17, 1), (18, 1)]|
valid |[(10, 1)]|
valu |[(10, 1), (11, 1), (12, 1), (13, 1)]|
vanderbilt |[(3, 1), (9, 1)]|
variabl |[(7, 1)]|
variou |[(13, 1)]|
vector |[(10, 1), (13, 1)]|
vergara |[(10, 1)]|
veri |[(16, 1)]|
verif |[(3, 1), (4, 1), (5, 1), (7, 1), (8, 1), (9, 1)]|
verifi |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (16, 1)]|
verimag |[(3, 1), (4, 1), (5, 1), (8, 1)]|
version |[(7, 1)]|
vervier |[(13, 1)]|
veyriera |[(13, 1)]|
via |[(4, 1), (6, 1), (11, 1)]|
vice |[(0, 1), (1, 1), (2, 1)]|
video |[(0, 1), (1, 1), (2, 1)]|
view |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
vipani |[(0, 1), (1, 1), (2, 1)]|
vision |[(0, 1), (1, 1), (2, 1)]|
visit |[(9, 1), (11, 1)]|
visual |[(5, 1), (8, 1), (11, 1)]|
viti |[(11, 1)]|
vitro |[(13, 1)]|
volatil |[(10, 1)]|
volker |[(12, 1)]|
voltag |[(10, 1)]|
volum |[(4, 1), (6, 1)]|
wa |[(10, 1), (12, 1), (13, 1), (16, 1)]|
wai |[(16, 1)]|
wang |[(0, 1), (1, 1), (2, 1), (16, 1)]|
way |[(0, 1), (1, 1), (2, 1), (5, 1), (6, 1), (7, 1), (8, 1)]|
we |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (13, 1), (16, 1)]|
weather |[(11, 1)]|
web |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
websit |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
weekli |[(0, 1), (1, 1), (2, 1)]|
well |[(7, 1), (9, 1), (16, 1)]|
were |[(5, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
what |[(0, 1), (1, 1), (2, 1)]|
when |[(6, 1), (10, 1)]|
where |[(10, 1)]|
which |[(5, 1), (6, 1), (8, 1), (10, 1), (13, 1), (16, 1)]|
white |[(11, 1)]|
who |[(0, 1), (1, 1), (2, 1), (11, 1)]|
whole |[(10, 1)]|
wind |[(10, 1)]|
wire |[(7, 1)]|
with |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
work |[(0, 1), (1, 1), (2, 1), (7, 1)]|
workflow |[(13, 1)]|
workshop |[(0, 1), (1, 1), (2, 1), (4, 1), (12, 1)]|
world |[(0, 1), (1, 1), (2, 1)]|
worri |[(0, 1), (1, 1), (2, 1)]|
worth |[(10, 1)]|
www |[(9, 1)]|
x |[(10, 1)]|
xlsx |[(15, 1)]|
xu |[(16, 1)]|
year |[(0, 1), (1, 1), (2, 1)]|
you |[(0, 1), (1, 1), (2, 1), (3, 1), (6, 1), (9, 1), (10, 1), (13, 1)]|
your |[(9, 1), (13, 1)]|
youtub |[(0, 1), (1, 1), (2, 1)]|
yu |[(16, 1)]|
z |[(10, 1)]|
zero |[(10, 1), (16, 1)]|
zhang |[(0, 1), (1, 1), (2, 1)]|
zhou |[(16, 1)]|
zhu |[(5, 1), (7, 1), (8, 1)]|
zip |[(9, 1), (14, 1)]|
zustandsã¼berwachung |[(12, 1)]|
â |[(10, 1)]|
